Time,CellN_m,CellE_m,Elevation_m,PassCount,LastRadioLtncy,DesignName,Task,MeasuredData,Machine,Speed,LastGPSMode,GPSAccTol,TargPassCount,TotalPasses,Lift,LastCMV,TargCMV,LastEVIB1,TargEVIB1,LastEVIB2,TargEVIB2,LastMDP,TargMDP,LastRMV,LastFreq,LastAmp,TargThickness,MachineGear,VibeState,LastTemp
2025/Oct/01 08:35:22.500,1032561.570,-242096.150,5.429,1,1,Automated-multi-state-throughput,?,Realigned-systematic-focus-group,Machine-Linen-02,4.7km/h,RTK Fixed,Medium (0.050),4,1,1,?,2.0,?,?,?,?,?,50.0,?,?,?,0.500,Reverse,Off,?
2025/Oct/01 08:35:22.400,1032561.570,-242095.810,5.430,1,1,Automated-multi-state-throughput,?,Realigned-systematic-focus-group,Machine-Linen-02,4.7km/h,RTK Fixed,Medium (0.050),4,1,1,?,2.0,?,?,?,?,?,50.0,?,?,?,0.500,Reverse,Off,?
2025/Oct/01 08:35:22.100,1032561.910,-242095.810,5.436,1,1,Automated-multi-state-throughput,?,Realigned-systematic-focus-group,Machine-Linen-02,4.3km/h,RTK Fixed,Medium (0.050),4,1,1,?,2.0,?,?,?,?,?,50.0,?,?,?,0.500,Reverse,Off,?
2025/Oct/01 08:35:21.900,1032562.250,-242095.810,5.435,1,1,Automated-multi-state-throughput,?,Realigned-systematic-focus-group,Machine-Linen-02,4.5km/h,RTK Fixed,Medium (0.050),4,1,1,?,2.0,?,?,?,?,?,50.0,?,?,?,0.500,Reverse,Off,?
2025/Oct/01 08:35:21.600,1032562.590,-242095.810,5.430,1,1,Automated-multi-state-throughput,?,Realigned-systematic-focus-group,Machine-Linen-02,4.5km/h,RTK Fixed,Medium (0.050),4,1,1,?,2.0,?,?,?,?,?,50.0,?,?,?,0.500,Reverse,Off,?
2025/Oct/01 08:35:22.300,1032561.570,-242095.470,5.432,1,1,Automated-multi-state-throughput,?,Realigned-systematic-focus-group,Machine-Linen-02,4.3km/h,RTK Fixed,Medium (0.050),4,1,1,?,2.0,?,?,?,?,?,50.0,?,?,?,0.500,Reverse,Off,?
2025/Oct/01 08:35:22.000,1032561.910,-242095.470,5.437,1,1,Automated-multi-state-throughput,?,Realigned-systematic-focus-group,Machine-Linen-02,4.5km/h,RTK Fixed,Medium (0.050),4,1,1,?,2.0,?,?,?,?,?,50.0,?,?,?,0.500,Reverse,Off,?
2025/Oct/01 08:35:21.800,1032562.250,-242095.470,5.433,1,1,Automated-multi-state-throughput,?,Realigned-systematic-focus-group,Machine-Linen-02,4.5km/h,RTK Fixed,Medium (0.050),4,1,1,?,2.0,?,?,?,?,?,50.0,?,?,?,0.500,Reverse,Off,?
2025/Oct/01 08:35:21.500,1032562.590,-242095.470,5.428,1,1,Automated-multi-state-throughput,?,Realigned-systematic-focus-group,Machine-Linen-02,4.5km/h,RTK Fixed,Medium (0.050),4,1,1,?,2.0,?,?,?,?,?,50.0,?,?,?,0.500,Reverse,Off,?
2025/Oct/01 08:35:21.200,1032562.930,-242095.470,5.426,1,1,Automated-multi-state-throughput,?,Realigned-systematic-focus-group,Machine-Linen-02,3.9km/h,RTK Fixed,Medium (0.050),4,1,1,?,2.0,?,?,?,?,?,50.0,?,?,?,0.500,Reverse,Off,?
