Time,CellN_m,CellE_m,Elevation_m,PassCount,LastRadioLtncy,DesignName,Task,MeasuredData,Machine,Speed,LastGPSMode,GPSAccTol,TargPassCount,TotalPasses,Lift,LastCMV,TargCMV,LastEVIB1,TargEVIB1,LastEVIB2,TargEVIB2,LastMDP,TargMDP,LastRMV,LastFreq,LastAmp,TargThickness,MachineGear,VibeState,LastTemp
2025/Oct/01 07:07:59.700,1033046.750,-240156.110,11.280,1,10,Configurable-real-time-interface,?,Dataset-popular-8274,Machine-MistyRose-28,3.3km/h,RTK Fixed,Medium (0.045),4,1,?,?,50.0,?,?,?,?,143.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 07:07:59.300,1033047.090,-240156.110,11.271,1,10,Configurable-real-time-interface,?,Dataset-popular-8274,Machine-MistyRose-28,2.6km/h,RTK Fixed,Medium (0.045),4,1,?,?,50.0,?,?,?,?,142.5,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 07:07:58.900,1033047.430,-240156.110,11.240,1,10,Configurable-real-time-interface,?,Dataset-popular-8274,Machine-MistyRose-28,2.6km/h,RTK Fixed,Medium (0.045),4,1,?,?,50.0,?,?,?,?,142.7,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 07:07:58.400,1033047.770,-240156.110,11.219,1,10,Configurable-real-time-interface,?,Dataset-popular-8274,Machine-MistyRose-28,2.7km/h,RTK Fixed,Medium (0.045),4,1,?,?,50.0,?,?,?,?,142.9,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 07:07:57.900,1033048.110,-240156.110,11.207,1,10,Configurable-real-time-interface,?,Dataset-popular-8274,Machine-MistyRose-28,2.7km/h,RTK Fixed,Medium (0.045),4,1,?,?,50.0,?,?,?,?,143.5,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 07:07:57.400,1033048.450,-240156.110,11.201,1,10,Configurable-real-time-interface,?,Dataset-popular-8274,Machine-MistyRose-28,2.7km/h,RTK Fixed,Medium (0.045),4,1,?,?,50.0,?,?,?,?,144.2,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 07:07:57.100,1033048.790,-240156.110,11.199,1,10,Configurable-real-time-interface,?,Dataset-popular-8274,Machine-MistyRose-28,2.7km/h,RTK Fixed,Medium (0.045),4,1,?,?,50.0,?,?,?,?,144.2,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 07:07:56.500,1033049.130,-240156.110,11.208,1,10,Configurable-real-time-interface,?,Dataset-popular-8274,Machine-MistyRose-28,3.0km/h,RTK Fixed,Medium (0.045),4,1,?,?,50.0,?,?,?,?,144.8,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 07:07:56.000,1033049.470,-240156.110,11.215,1,10,Configurable-real-time-interface,?,Dataset-popular-8274,Machine-MistyRose-28,3.0km/h,RTK Fixed,Medium (0.045),4,1,?,?,50.0,?,?,?,?,144.8,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 07:07:55.600,1033049.810,-240156.110,11.207,1,10,Configurable-real-time-interface,?,Dataset-popular-8274,Machine-MistyRose-28,2.6km/h,RTK Fixed,Medium (0.045),4,1,?,?,50.0,?,?,?,?,144.4,50.0,?,?,?,?,Forward,Off,?
