Time,CellN_m,CellE_m,Elevation_m,PassCount,LastRadioLtncy,DesignName,Task,MeasuredData,Machine,Speed,LastGPSMode,GPSAccTol,TargPassCount,TotalPasses,Lift,LastCMV,TargCMV,LastEVIB1,TargEVIB1,LastEVIB2,TargEVIB2,LastMDP,TargMDP,LastRMV,LastFreq,LastAmp,TargThickness,MachineGear,VibeState,LastTemp
2025/Oct/01 19:09:08.700,1033040.290,-240153.730,11.188,3,10,Digitized-explicit-database,?,Dataset-prove-1058,Machine-MistyRose-28,5.6km/h,RTK Fixed,Medium (0.045),4,3,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 19:09:08.900,1033040.630,-240153.730,11.186,3,10,Digitized-explicit-database,?,Dataset-prove-1058,Machine-MistyRose-28,5.6km/h,RTK Fixed,Medium (0.045),4,3,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 19:09:09.100,1033040.970,-240153.730,11.182,3,10,Digitized-explicit-database,?,Dataset-prove-1058,Machine-MistyRose-28,5.6km/h,RTK Fixed,Medium (0.045),4,3,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 19:09:09.300,1033041.310,-240153.730,11.179,3,10,Digitized-explicit-database,?,Dataset-prove-1058,Machine-MistyRose-28,5.6km/h,RTK Fixed,Medium (0.045),4,3,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 19:09:09.500,1033041.650,-240153.730,11.181,3,10,Digitized-explicit-database,?,Dataset-prove-1058,Machine-MistyRose-28,5.6km/h,RTK Fixed,Medium (0.045),4,3,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 19:09:09.800,1033041.990,-240153.730,11.178,3,10,Digitized-explicit-database,?,Dataset-prove-1058,Machine-MistyRose-28,5.6km/h,RTK Fixed,Medium (0.045),4,3,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 19:09:10.000,1033042.330,-240153.730,11.179,3,10,Digitized-explicit-database,?,Dataset-prove-1058,Machine-MistyRose-28,5.6km/h,RTK Fixed,Medium (0.045),4,3,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 19:09:10.200,1033042.670,-240153.730,11.176,3,10,Digitized-explicit-database,?,Dataset-prove-1058,Machine-MistyRose-28,5.6km/h,RTK Fixed,Medium (0.045),4,3,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 19:09:10.400,1033043.010,-240153.730,11.175,3,10,Digitized-explicit-database,?,Dataset-prove-1058,Machine-MistyRose-28,5.6km/h,RTK Fixed,Medium (0.045),4,3,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 19:09:10.600,1033043.350,-240153.730,11.176,3,10,Digitized-explicit-database,?,Dataset-prove-1058,Machine-MistyRose-28,5.6km/h,RTK Fixed,Medium (0.045),4,3,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
