Time,CellN_m,CellE_m,Elevation_m,PassCount,LastRadioLtncy,DesignName,Task,MeasuredData,Machine,Speed,LastGPSMode,GPSAccTol,TargPassCount,TotalPasses,Lift,LastCMV,TargCMV,LastEVIB1,TargEVIB1,LastEVIB2,TargEVIB2,LastMDP,TargMDP,LastRMV,LastFreq,LastAmp,TargThickness,MachineGear,VibeState,LastTemp
2025/Oct/01 14:55:55.100,1032736.330,-240028.270,4.541,1,10,Progressive-executive-project,?,Dataset-program-0681,Machine-MistyRose-28,2.8km/h,RTK Fixed,Medium (0.045),2,1,?,?,50.0,?,?,?,?,118.6,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 14:55:54.900,1032736.670,-240028.270,4.605,1,10,Progressive-executive-project,?,Dataset-program-0681,Machine-MistyRose-28,2.8km/h,RTK Fixed,Medium (0.045),2,1,?,?,50.0,?,?,?,?,118.6,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 14:55:54.400,1032737.010,-240028.270,4.628,1,10,Progressive-executive-project,?,Dataset-program-0681,Machine-MistyRose-28,2.6km/h,RTK Fixed,Medium (0.045),2,1,?,?,50.0,?,?,?,?,119.4,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 14:55:54.100,1032737.350,-240028.270,4.655,1,10,Progressive-executive-project,?,Dataset-program-0681,Machine-MistyRose-28,2.7km/h,RTK Fixed,Medium (0.045),2,1,?,?,50.0,?,?,?,?,121.4,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 14:55:53.800,1032737.690,-240028.270,4.679,1,10,Progressive-executive-project,?,Dataset-program-0681,Machine-MistyRose-28,2.7km/h,RTK Fixed,Medium (0.045),2,1,?,?,50.0,?,?,?,?,121.4,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 14:55:53.400,1032738.030,-240028.270,4.738,1,10,Progressive-executive-project,?,Dataset-program-0681,Machine-MistyRose-28,2.7km/h,RTK Fixed,Medium (0.045),2,1,?,?,50.0,?,?,?,?,122.6,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 14:55:52.900,1032738.370,-240028.270,4.779,1,10,Progressive-executive-project,?,Dataset-program-0681,Machine-MistyRose-28,2.7km/h,RTK Fixed,Medium (0.045),2,1,?,?,50.0,?,?,?,?,124.4,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 14:55:52.500,1032738.710,-240028.270,4.841,1,10,Progressive-executive-project,?,Dataset-program-0681,Machine-MistyRose-28,3.3km/h,RTK Fixed,Medium (0.045),2,1,?,?,50.0,?,?,?,?,125.7,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 14:55:52.100,1032739.050,-240028.270,4.898,1,10,Progressive-executive-project,?,Dataset-program-0681,Machine-MistyRose-28,3.3km/h,RTK Fixed,Medium (0.045),2,1,?,?,50.0,?,?,?,?,125.1,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 14:55:55.600,1032735.990,-240027.930,4.548,1,10,Progressive-executive-project,?,Dataset-program-0681,Machine-MistyRose-28,2.8km/h,RTK Fixed,Medium (0.045),2,1,?,?,50.0,?,?,?,?,118.5,50.0,?,?,?,?,Forward,Off,?
