Time,CellN_m,CellE_m,Elevation_m,PassCount,LastRadioLtncy,DesignName,Task,MeasuredData,Machine,Speed,LastGPSMode,GPSAccTol,TargPassCount,TotalPasses,Lift,LastCMV,TargCMV,LastEVIB1,TargEVIB1,LastEVIB2,TargEVIB2,LastMDP,TargMDP,LastRMV,LastFreq,LastAmp,TargThickness,MachineGear,VibeState,LastTemp
2025/Oct/01 17:40:37.900,1032822.690,-239821.550,3.497,10,10,Self-enabling-zero-defect-attitude,?,Dataset-probably-4512,Machine-MistyRose-28,2.7km/h,RTK Fixed,Medium (0.045),2,10,?,119.9,50.0,?,?,?,?,141.7,50.0,3.1,22.1Hz,0.97mm,?,Forward,On,?
2025/Oct/01 17:39:26.100,1032823.030,-239821.550,3.454,8,10,Self-enabling-zero-defect-attitude,?,Dataset-probably-4512,Machine-MistyRose-28,2.7km/h,RTK Fixed,Medium (0.045),2,8,?,119.9,50.0,?,?,?,?,139.5,50.0,3.1,24.0Hz,0.97mm,?,Forward,On,?
2025/Oct/01 17:39:26.000,1032823.370,-239821.550,3.457,8,10,Self-enabling-zero-defect-attitude,?,Dataset-probably-4512,Machine-MistyRose-28,2.2km/h,RTK Fixed,Medium (0.045),2,8,?,116.8,50.0,?,?,?,?,141.0,50.0,2.0,24.0Hz,0.97mm,?,Forward,On,?
2025/Oct/01 17:40:37.300,1032822.690,-239821.210,3.529,9,10,Self-enabling-zero-defect-attitude,?,Dataset-probably-4512,Machine-MistyRose-28,2.3km/h,RTK Fixed,Medium (0.045),2,9,?,126.2,50.0,?,?,?,?,143.0,50.0,1.0,22.1Hz,0.97mm,?,Forward,On,?
2025/Oct/01 17:39:25.600,1032823.030,-239821.210,3.477,8,10,Self-enabling-zero-defect-attitude,?,Dataset-probably-4512,Machine-MistyRose-28,3.1km/h,RTK Fixed,Medium (0.045),2,8,?,132.5,50.0,?,?,?,?,142.9,50.0,1.6,24.0Hz,0.97mm,?,Forward,On,?
2025/Oct/01 17:39:25.600,1032823.370,-239821.210,3.471,8,10,Self-enabling-zero-defect-attitude,?,Dataset-probably-4512,Machine-MistyRose-28,3.1km/h,RTK Fixed,Medium (0.045),2,8,?,132.5,50.0,?,?,?,?,142.9,50.0,1.6,24.0Hz,0.97mm,?,Forward,On,?
2025/Oct/01 17:39:25.600,1032823.710,-239821.210,3.469,7,10,Self-enabling-zero-defect-attitude,?,Dataset-probably-4512,Machine-MistyRose-28,3.1km/h,RTK Fixed,Medium (0.045),2,7,?,132.5,50.0,?,?,?,?,142.9,50.0,1.6,24.0Hz,0.97mm,?,Forward,On,?
2025/Oct/01 17:39:25.600,1032824.050,-239821.210,3.466,5,10,Self-enabling-zero-defect-attitude,?,Dataset-probably-4512,Machine-MistyRose-28,3.1km/h,RTK Fixed,Medium (0.045),2,5,?,132.5,50.0,?,?,?,?,142.9,50.0,1.6,24.0Hz,0.97mm,?,Forward,On,?
2025/Oct/01 17:39:25.600,1032824.390,-239821.210,3.464,3,10,Self-enabling-zero-defect-attitude,?,Dataset-probably-4512,Machine-MistyRose-28,3.1km/h,RTK Fixed,Medium (0.045),2,3,?,132.5,50.0,?,?,?,?,142.9,50.0,1.6,24.0Hz,0.97mm,?,Forward,On,?
2025/Oct/01 17:39:25.600,1032824.730,-239821.210,3.462,1,10,Self-enabling-zero-defect-attitude,?,Dataset-probably-4512,Machine-MistyRose-28,3.1km/h,RTK Fixed,Medium (0.045),2,1,?,132.5,50.0,?,?,?,?,142.9,50.0,1.6,24.0Hz,0.97mm,?,Forward,On,?
