Time,CellN_m,CellE_m,Elevation_m,PassCount,LastRadioLtncy,DesignName,Task,MeasuredData,Machine,Speed,LastGPSMode,GPSAccTol,TargPassCount,TotalPasses,Lift,LastCMV,TargCMV,LastEVIB1,TargEVIB1,LastEVIB2,TargEVIB2,LastMDP,TargMDP,LastRMV,LastFreq,LastAmp,TargThickness,MachineGear,VibeState,LastTemp
2025/Oct/01 09:31:49.500,1033084.150,-240125.170,11.403,2,10,Ameliorated-executive-project,?,Dataset-knowledge-2998,Machine-MistyRose-28,0.9km/h,RTK Fixed,Medium (0.045),2,2,?,?,50.0,?,?,?,?,146.2,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 09:31:50.200,1033083.810,-240124.830,11.395,2,10,Ameliorated-executive-project,?,Dataset-knowledge-2998,Machine-MistyRose-28,2.4km/h,RTK Fixed,Medium (0.045),2,2,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 09:31:49.700,1033084.150,-240124.830,11.404,2,10,Ameliorated-executive-project,?,Dataset-knowledge-2998,Machine-MistyRose-28,1.7km/h,RTK Fixed,Medium (0.045),2,2,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 09:31:50.300,1033083.810,-240124.490,11.398,2,10,Ameliorated-executive-project,?,Dataset-knowledge-2998,Machine-MistyRose-28,3.0km/h,RTK Fixed,Medium (0.045),2,2,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 09:31:49.900,1033084.150,-240124.490,11.402,2,10,Ameliorated-executive-project,?,Dataset-knowledge-2998,Machine-MistyRose-28,1.7km/h,RTK Fixed,Medium (0.045),2,2,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 09:31:50.500,1033083.810,-240124.150,11.402,2,10,Ameliorated-executive-project,?,Dataset-knowledge-2998,Machine-MistyRose-28,3.0km/h,RTK Fixed,Medium (0.045),2,2,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 09:31:50.200,1033084.150,-240124.150,11.402,2,10,Ameliorated-executive-project,?,Dataset-knowledge-2998,Machine-MistyRose-28,2.4km/h,RTK Fixed,Medium (0.045),2,2,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 09:31:49.500,1033084.490,-240124.150,11.413,2,10,Ameliorated-executive-project,?,Dataset-knowledge-2998,Machine-MistyRose-28,0.9km/h,RTK Fixed,Medium (0.045),2,2,?,?,50.0,?,?,?,?,146.2,50.0,?,?,?,?,Forward,Off,?
2025/Oct/01 09:31:50.600,1033083.810,-240123.810,11.404,2,10,Ameliorated-executive-project,?,Dataset-knowledge-2998,Machine-MistyRose-28,3.0km/h,RTK Fixed,Medium (0.045),2,2,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Reverse,Off,?
2025/Oct/01 09:31:50.200,1033084.150,-240123.810,11.403,2,10,Ameliorated-executive-project,?,Dataset-knowledge-2998,Machine-MistyRose-28,2.4km/h,RTK Fixed,Medium (0.045),2,2,?,?,50.0,?,?,?,?,150.0,50.0,?,?,?,?,Forward,Off,?
